iter	RMSE
286	93.63722474
287	93.54445178
288	93.47320518
289	93.41128392
290	93.35529704
291	93.30794652
292	93.25994249
293	93.19905645
294	93.12019128
295	93.06395651
296	93.03044862
297	92.98253288
298	92.90624149
299	92.84134062
300	92.76568033
301	92.71812682
302	92.66522638
303	92.59410056
304	92.53368614
305	92.47691114
306	92.42846106
307	92.36599576
308	92.29860563
309	92.23420099
310	92.18588108
311	92.13874352
312	92.09231836
313	92.04306056
314	91.98856514
315	91.92516185
316	91.86383443
317	91.80669657
318	91.75379849
319	91.68386635
320	91.64974517
321	91.59473186
322	91.53271871
323	91.47650527
324	91.41897624
325	91.38440546
326	91.34423496
327	91.29665107
328	91.24567995
329	91.19238411
330	91.12647205
331	91.0720239
332	91.01230146
333	90.94414653
334	90.91117621
335	90.86555366
336	90.78962049
337	90.74731303
338	90.69502797
339	90.64498898
340	90.59556317
341	90.55062176
342	90.47348753
343	90.42075601
344	90.37170438
345	90.33765755
346	90.27152904
347	90.22485114
348	90.18516713
349	90.13456641
350	90.08467151
351	90.03631093
352	89.98728684
353	89.9423813
354	89.89730041
355	89.80256065
356	89.74543694
357	89.70452504
358	89.67784684
359	89.63626761
360	89.58544805
361	89.54041776
362	89.47444952
363	89.4279805
364	89.36132107
365	89.32404394
366	89.27779547
367	89.23550957
368	89.16243297
369	89.12068032
370	89.07202858
371	88.96548123
372	88.92075876
373	88.86644643
374	88.79398206
375	88.74808889
376	88.70268173
377	88.66961145
378	88.60608985
379	88.57136281
380	88.5213306
381	88.48247124
382	88.44651751
383	88.40283761
384	88.34478762
385	88.31547732
386	88.27737087
387	88.2348135
388	88.187625
389	88.13357789
390	88.09323422
391	88.05911994
392	88.02397234
393	87.96517464
394	87.89798369
395	87.85799987
396	87.82581042
397	87.77041062
398	87.70832383
399	87.67063468
400	87.63500131
401	87.57663088
402	87.51734434
403	87.46068697
404	87.42902618
405	87.3947067
406	87.34694203
407	87.30507975
408	87.27025048
409	87.22117686
410	87.16831021
411	87.13738277
412	87.08801966
413	87.03523916
414	87.01143957
415	86.97092611
416	86.93553891
417	86.89289695
418	86.84612663
419	86.80964505
420	86.76754304
421	86.73863536
422	86.699994
423	86.61114832
424	86.55387477
425	86.5128921
426	86.48436671
427	86.45302411
428	86.41641435
429	86.36961122
430	86.33884653
431	86.29419855
432	86.2569533
433	86.2190201
434	86.18144472
435	86.12303243
436	86.06279585
437	86.02572744
438	85.98497885
439	85.93056143
440	85.88183117
441	85.82581242
442	85.79617325
443	85.74926683
444	85.72293531
445	85.68542364
446	85.62971001
447	85.56719071
448	85.48120002
449	85.43770866
450	85.38934411
451	85.35018189
452	85.30770262
453	85.27135918
454	85.23433259
455	85.21191325
456	85.17794427
457	85.13141141
458	85.08336304
459	85.03042995
460	85.00163141
461	84.95519505
462	84.92356905
463	84.89112012
464	84.85529843
465	84.81108035
466	84.7564948
467	84.71633554
468	84.67011338
469	84.64377955
470	84.61705629
471	84.58421791
472	84.54181636
473	84.48455866
474	84.4585344
475	84.4246477
476	84.38746557
477	84.3588697
478	84.32191054
479	84.28051926
480	84.2463125
481	84.20814932
482	84.16534801
483	84.12687494
484	84.09010408
485	84.04586454
486	84.00845241
487	83.98769483
488	83.96390761
489	83.9285099
490	83.90879983
491	83.86685561
492	83.82603702
493	83.77802201
494	83.69602003
495	83.66683358
496	83.62506386
497	83.5786184
498	83.54191698
499	83.51148827
500	83.48287786
501	83.45680462
502	83.42235782
503	83.37828286
504	83.35040578
505	83.31347189
506	83.28269884
507	83.25647107
508	83.21469248
509	83.17965658
510	83.15174982
511	83.1223081
512	83.05999386
513	83.02760519
514	83.00316438
515	82.92771251
516	82.89965939
517	82.83526293
518	82.80049725
519	82.78413133
520	82.74513656
521	82.70851412
522	82.68847492
523	82.65035361
524	82.59179195
525	82.54419035
526	82.52905284
527	82.50484166
528	82.48908556
529	82.45911298
530	82.43188473
531	82.37678367
532	82.35521257
533	82.32285372
534	82.29261707
535	82.26756946
536	82.22748011
537	82.2029997
538	82.16192422
539	82.13195826
540	82.09209402
541	82.06053908
542	82.02704782
543	81.99985218
544	81.97375008
545	81.9456891
546	81.91427161
547	81.87637925
548	81.84314851
549	81.811697
550	81.7527899
551	81.71453361
552	81.68071383
553	81.6477079
554	81.61699621
555	81.57480076
556	81.5416639
557	81.50800487
558	81.46679299
559	81.42838016
560	81.39985902
561	81.35988611
562	81.29777288
563	81.26842016
564	81.23898828
565	81.21652878
566	81.19149612
567	81.16334296
568	81.12837135
569	81.08171866
570	81.04391218
571	81.01326902
572	80.97196411
573	80.9514025
574	80.91108536
575	80.89475582
576	80.87057228
577	80.82736398
578	80.80602296
579	80.77511187
580	80.73701782
581	80.71124816
582	80.68194254
583	80.65478282
584	80.60925199
585	80.58376081
586	80.54689042
587	80.51052012
588	80.48560603
589	80.44865427
590	80.4044837
591	80.34206732
592	80.31287845
593	80.27586992
594	80.25200402
595	80.21487089
596	80.19345436
597	80.16455557
598	80.13743543
599	80.08807307
600	80.06174714
601	80.02086278
602	79.98547297
603	79.93510769
604	79.89844578
605	79.87153313
606	79.85264498
607	79.82943756
608	79.79563714
609	79.76734943
610	79.71790947
611	79.68725393
612	79.64500593
613	79.60624029
614	79.59161869
615	79.56466609
616	79.52336555
617	79.50074527
618	79.46881739
619	79.42654854
620	79.39246472
621	79.37098007
622	79.34055949
623	79.29699764
624	79.27594542
625	79.24700697
626	79.21267548
627	79.181283
628	79.16667967
629	79.13803013
630	79.1158931
631	79.08299652
632	79.04513505
633	79.01554786
634	78.97678825
635	78.94807459
636	78.8814601
637	78.85702956
638	78.82549876
639	78.79600754
640	78.77130411
641	78.74591095
642	78.71321944
643	78.67690492
644	78.65885569
645	78.64110549
646	78.61284056
647	78.58809988
648	78.54668646
649	78.51354808
650	78.49683884
651	78.47445443
652	78.44440202
653	78.42195143
654	78.39703108
655	78.35739848
656	78.33972601
657	78.31820725
658	78.29020145
659	78.27421251
660	78.25307111
661	78.21920488
662	78.19785614
663	78.16293228
664	78.14120892
665	78.10641662
666	78.07424908
667	78.0508009
668	78.03042451
669	78.00645686
670	77.97591547
671	77.93609386
672	77.89083424
673	77.86634574
674	77.84375862
675	77.80874933
676	77.77979091
677	77.74996524
678	77.73005382
679	77.70489573
680	77.67143582
681	77.64336674
682	77.62491598
683	77.59020424
684	77.5765784
685	77.54013342
686	77.52792051
687	77.49190439
688	77.45982256
689	77.42336274
690	77.39439053
691	77.36352458
692	77.33844195
693	77.31644228
694	77.30047477
695	77.27790737
696	77.2405218
697	77.22040524
698	77.2022521
699	77.18784226
700	77.16287144
701	77.12881085
702	77.10927429
703	77.0776809
704	77.06525687
705	77.044598
706	77.01618872
707	76.98533003
708	76.94529265
709	76.91664795
710	76.89242574
711	76.87099213
712	76.84351074
713	76.81889791
714	76.80152476
715	76.78681109
716	76.76768913
717	76.74890805
718	76.72799604
719	76.70898506
720	76.68424667
721	76.64138882
722	76.62628385
723	76.61467983
724	76.59430021
725	76.57495249
726	76.54846264
727	76.52352276
728	76.50671346
729	76.48729692
730	76.46314036
731	76.44140779
732	76.41313229
733	76.38647468
734	76.3702742
735	76.34250853
736	76.32624532
737	76.30020374
738	76.26583874
739	76.23006414
740	76.19936365
741	76.167523
742	76.13698556
743	76.11344104
744	76.06987261
745	76.05563378
746	76.03273607
747	76.00244386
748	75.97533103
749	75.95416448
750	75.92127822
751	75.90243804
752	75.88257744
753	75.84657508
754	75.82938278
755	75.81330493
756	75.79733335
757	75.7731268
758	75.75099522
759	75.72843525
760	75.70465405
761	75.67264913
762	75.63824692
763	75.60336901
764	75.58403295
765	75.56594223
766	75.53961508
767	75.51371875
768	75.49765681
769	75.47126642
770	75.43681549
771	75.40217273
772	75.37942894
773	75.36123555
774	75.33277361
775	75.31187188
776	75.28510779
777	75.25330811
778	75.22651467
779	75.20585964
780	75.17042373
781	75.15560602
782	75.13062462
783	75.11800275
784	75.09767485
785	75.07339569
786	75.04229221
787	75.0162404
788	74.98672585
789	74.96117308
790	74.94324484
791	74.92328015
792	74.89423765
793	74.86133494
794	74.83544642
795	74.79594302
796	74.77561108
797	74.7558182
798	74.72969054
799	74.70047644
800	74.66687948
801	74.64881055
802	74.62778083
803	74.58849921
804	74.56769597
805	74.55088492
806	74.52639899
807	74.51398099
808	74.48805672
809	74.43831881
810	74.4102691
811	74.39213066
812	74.3668163
813	74.34754751
814	74.30984291
815	74.29376553
816	74.2639192
817	74.24765784
818	74.22937111
819	74.19157313
820	74.16481388
821	74.14993198
822	74.11889116
823	74.09494615
824	74.05145479
825	74.02894589
826	73.98017768
827	73.94857632
828	73.92987475
829	73.9029813
830	73.8689754
831	73.84657841
832	73.8254998
833	73.80846976
834	73.78769835
835	73.76713957
836	73.7540634
837	73.7352308
838	73.71886006
839	73.69646155
840	73.64860636
841	73.62112373
842	73.59332199
843	73.579459
844	73.55891602
845	73.52299876
846	73.51342723
847	73.48671295
848	73.45591805
849	73.4233714
850	73.38636972
851	73.36773997
852	73.35046048
853	73.33335216
854	73.3120278
855	73.29529825
856	73.27173771
857	73.24769167
858	73.22687458
859	73.19996059
860	73.18202934
861	73.16771502
862	73.14700051
863	73.11426364
864	73.1021291
865	73.07626567
866	73.03369047
867	73.00797854
868	72.99524764
869	72.97207985
870	72.95591622
871	72.93006469
872	72.90371806
873	72.85976594
874	72.83687003
875	72.80669535
876	72.79320196
877	72.77383059
878	72.74159232
879	72.69794152
880	72.68142097
881	72.66674614
882	72.64362519
883	72.62543872
884	72.57404402
885	72.55497972
886	72.53172109
887	72.5174522
888	72.48483972
889	72.45279142
890	72.43275369
891	72.41250287
892	72.39169898
893	72.3688468
894	72.34496305
895	72.32539956
896	72.2956286
897	72.26918333
898	72.24529442
899	72.22570466
900	72.20532007
901	72.17962178
902	72.15662931
903	72.136813
904	72.1078877
905	72.09313565
906	72.06523811
907	72.03468621
908	72.00409292
909	71.98694122
910	71.9635335
911	71.93693263
912	71.90553254
913	71.88459357
914	71.87421054
915	71.85896911
916	71.83072028
917	71.81755157
918	71.80266232
919	71.77561429
920	71.76418619
921	71.73916868
922	71.70973174
923	71.67799699
924	71.65478624
925	71.61594212
926	71.60311763
927	71.58492829
928	71.55474659
929	71.51028087
930	71.49409907
931	71.47768252
932	71.4529623
933	71.4423277
934	71.41275142
935	71.39368321
936	71.36481432
937	71.34416196
938	71.32883437
939	71.31295313
940	71.29065407
941	71.2752534
942	71.2553036
943	71.23755392
944	71.21025522
945	71.19517915
946	71.18114433
947	71.16053899
948	71.14359025
949	71.11665804
950	71.09732747
951	71.07186377
952	71.04565623
953	71.01907065
954	70.99311506
955	70.98382589
956	70.96066471
957	70.94412785
958	70.92881156
959	70.90430444
960	70.88664228
961	70.86432471
962	70.84085681
963	70.80912949
964	70.76421345
965	70.73999196
966	70.71942434
967	70.6816319
968	70.65864399
969	70.63921968
970	70.62280755
971	70.6014697
972	70.58500553
973	70.5712129
974	70.53521639
975	70.50875496
976	70.48379212
977	70.46374564
978	70.44539289
979	70.42186218
980	70.38980228
981	70.35389015
982	70.33636636
983	70.31213383
984	70.29234692
985	70.27478998
986	70.2553685
987	70.23390898
988	70.22118484
989	70.20831206
990	70.190609
991	70.15341062
992	70.13659594
993	70.1220477
994	70.10660986
995	70.0885148
996	70.06859695
997	70.03292089
998	70.00706546
999	69.98733428
